"Supplementary Table 2: NIRVS found in nine arthropod genomes. Following a reciprocal tBLASTn search against the NCBI non-redundant database, details of the virus of origin for each NIRVS were collated using published and unpublished metadata. Possible false positive hits are highlighted in yellow and have not been included in final NIRVS counts elsewhere in the manuscript.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Aedes aegypti chromosome 1,,,,,,,,,,,,,,,
NC_035109,NC_035109_68,109583527,109584210,683,31%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",3.63E-13,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_69,109584983,109585690,707,27%,MF176246,"Culex mononega-like virus 1 strain mos172gb79286 segment 2, complete sequence",1.48E-16,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_70,109585739,109586476,737,29%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",4.42E-15,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_71,109586494,109587231,737,27%,MF176246,"Culex mononega-like virus 1 strain mos172gb79286 segment 2, complete sequence",1.04E-17,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_72,109587249,109587956,707,31%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",5.45E-15,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_73,109588759,109589466,707,27%,MF176246,"Culex mononega-like virus 1 strain mos172gb79286 segment 2, complete sequence",3.75E-16,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_74,109589514,109590143,629,27%,MF176246,"Culex mononega-like virus 1 strain mos172gb79286 segment 2, complete sequence",5.08E-17,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_75,109590269,109590898,629,27%,MF176246,"Culex mononega-like virus 1 strain mos172gb79286 segment 2, complete sequence",5.17E-17,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_76,109591024,109591653,629,27%,MF176246,"Culex mononega-like virus 1 strain mos172gb79286 segment 2, complete sequence",2.35E-16,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_77,109592532,109593161,629,27%,MF176246,"Culex mononega-like virus 1 strain mos172gb79286 segment 2, complete sequence",5.13E-16,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_78,109593287,109593994,707,27%,MF176246,"Culex mononega-like virus 1 strain mos172gb79286 segment 2, complete sequence",5.98E-16,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_79,109594796,109595422,626,27%,MF176246,"Culex mononega-like virus 1 strain mos172gb79286 segment 2, complete sequence",6.26E-17,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_80,109595548,109596150,602,28%,MF176246,"Culex mononega-like virus 1 strain mos172gb79286 segment 2, complete sequence",2.90E-16,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_81,109596302,109596931,629,27%,MF176246,"Culex mononega-like virus 1 strain mos172gb79286 segment 2, complete sequence",8.50E-17,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_82,109597057,109597686,629,27%,MF176246,"Culex mononega-like virus 1 strain mos172gb79286 segment 2, complete sequence",9.19E-15,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_83,109597861,109598436,575,27%,MF176246,"Culex mononega-like virus 1 strain mos172gb79286 segment 2, complete sequence",6.33E-15,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_84,109598562,109599269,707,31%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",4.14E-18,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_85,148326059,148325490,-569,33%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",1.65E-19,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_86,148329004,148328363,-641,31%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",1.48E-17,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_87,148359530,148358889,-641,26%,MF176317,"Culex mononega-like virus 1 strain mos191X45127 segment 2, complete sequence",3.76E-17,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_88,365359511,365358897,-614,32%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",6.56E-21,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
,,,,,,,,,,,,,,,
Aedes aegypti unplaced scaffolds,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,Characteristics of closest tBLASTn match,,,,,,,,,
Genomic scaffold accession,NIRVS ID,Hit start (nt),Hit end (nt),NIRVS length (nt),Pairwise identity with closest match,GenBank accession,Description ,E-value,Baltimore Class ,Family,Order,Genus,Notes,Viral region,Structural/non-structural
NW_018736686,NW_018736686_1,7400,7032,-368,31%,KX882938,"Hubei toti-like virus 10 strain 3mos6210 hypothetical protein 1 and hypothetical protein 2 genes, complete cds",3.17E-05,III,Unassigned,Unassigned,Unassigned,Toti-like,Hypothetical protein 2,ND
NW_018734587,NW_018734587,61878,59935,-1943,51%,KP642128,"DsRNA virus environmental sample clone thai.aeae_contig5425 proline-alanine-rich protein and PArp-RdRp genes, partial cds",1.19E-46,III,Unassigned,Unassigned,Unassigned,Toti-like,RdRp,Non-structural
NW_018736686,NW_018736686_2,7635,7405,-230,42%,KP642128,"DsRNA virus environmental sample clone thai.aeae_contig5425 proline-alanine-rich protein and PArp-RdRp genes, partial cds",3.16E-07,III,Unassigned,Unassigned,Unassigned,Toti-like,RdRp,Non-structural
NW_018734666,NW_018734666,32259,33284,1025,40%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",6.04E-58,V,Chuviridae,Unassigned,Unassigned,-,Glycoprotein,Structural
NW_018734985,NW_018734985_2,11494,12063,569,78%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",0,V,Chuviridae,Unassigned,Unassigned,-,Glycoprotein,Structural
NW_018735421,NW_018735421_1,6501,6713,212,38%,KX148552,"Bolahun virus variant 2 putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",1.02E-09,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NW_018735421,NW_018735421_2,14857,15003,146,57%,MF176246,"Culex mononega-like virus 1 strain mos172gb79286 segment 2, complete sequence",8.07E-11,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NW_018735421,NW_018735421_3,13965,14726,761,47%,MF176246,"Culex mononega-like virus 1 strain mos172gb79286 segment 2, complete sequence",9.42E-55,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NW_018736113,NW_018736113_1,27057,27851,794,68%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NW_018736212,NW_018736212,2501,1818,-683,75%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NW_018736214,NW_018736214,10511,9546,-965,67%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",1.06E-153,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NW_018736262,NW_018736262,4069,5964,1895,76%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",3.92E-125,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NW_018736689,NW_018736689,71014,70175,-839,48%,KM817661,"Xincheng Mosquito Virus strain XC1-6 ORF1 (ORF1), ORF2 (ORF2), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds",3.55E-82,V,Unassigned,Mononegavirales,Anphevirus,-,Glycoprotein,Structural
NW_018736703,NW_018736703,44285,42606,-1679,57%,KM817661,"Xincheng Mosquito Virus strain XC1-6 ORF1 (ORF1), ORF2 (ORF2), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds",6.97E-65,V,Unassigned,Mononegavirales,Anphevirus,-,Glycoprotein,Structural
NW_018736442,NW_018736442_3,35090,35497,407,36%,MF893252,"Mogami virus isolate Jap1, partial genome",5.49E-25,V,Chuviridae,Unassigned,Unassigned,-,Hypothetical protein,ND
NW_018735537,NW_018735537_1,5146,5664,518,29%,KX884422,"Hubei rhabdo-like virus 1 strain QTM25107 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, putative glycoprotein, and RNA-dependent RNA polymerase genes, complete cds",9.03E-13,V,Unassigned,Mononegavirales,Unassigned,-,L,Non-structural
NW_018736113,NW_018736113_2,27438,28001,563,34%,KX884422,"Hubei rhabdo-like virus 1 strain QTM25107 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, putative glycoprotein, and RNA-dependent RNA polymerase genes, complete cds",4.77E-15,V,Unassigned,Mononegavirales,Unassigned,-,L,Non-structural
NW_018734985,NW_018734985_1,8549,9190,641,44%,KM204983,"Barur virus nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds",1.11E-22,V,Rhabdoviridae,Mononegavirales,Ledantevirus,-,Nucleoprotein,Structural
NW_018735537,NW_018735537_2,6294,6845,551,37%,LC026102,"Culex tritaeniorhynchus rhabdovirus viral cRNA, complete genome, strain: GHK",5.01E-47,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NW_018735670,NW_018735670_1,3925,5103,1178,33%,KM205001,"Fukuoka virus nucleoprotein, phosphoprotein, matrix, hypothetical protein, glycoprotein, and polymerase genes, complete cds",7.01E-45,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NW_018735670,NW_018735670_2,6126,6821,695,31%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",1.47E-17,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NW_018735670,NW_018735670_3,6754,7362,608,33%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",1.64E-19,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NW_018736357,NW_018736357,26026,27102,1076,37%,KM205005,"Marco virus nucleoprotein, phosphoprotein, matrix, glycoprotein, hypothetical proteins, and polymerase genes, complete cds",5.14E-24,V,Rhabdoviridae,Mononegavirales,Hapavirus,-,Nucleoprotein,Structural
NW_018736442,NW_018736442_1,34981,35094,113,42%,MF882997,"Merida-like virus Turkey isolate P431, complete genome",4.28E-20,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NW_018736442,NW_018736442_2,35123,35470,347,37%,KP642118,"Rhabdoviridae environmental sample clone sfra.cpip_contig6587 nucleocapsid protein gene, complete cds",5.95E-22,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NW_018736686,NW_018736686_3,13952,13359,-593,50%,DQ457104,"Rochambeau virus nucleoprotein (N) mRNA, partial cds",6.27E-06,V,Rhabdoviridae,Mononegavirales,Curiovirus,-,Nucleoprotein,Structural
,,,,,,,,,,,,,,,
Aedes albopictus,,,,,,,,,,,,,,,
,,,,,,Characteristics of closest tBLASTn match,,,,,,,,,
Genomic scaffold accession,NIRVS ID,Hit start (nt),Hit end (nt),NIRVS length (nt),Pairwise identity with closest match,GenBank accession,Description ,E-value,Baltimore Class ,Family,Order,Genus,Notes,Viral region,Structural/non-structural
NW_017856041,NW_017856041_2,1199538,1202045,2507,41.90%,KF298277,"Uncultured virus isolate acc_9.16 putative RNA-dependent RNA polymerase-like protein and hypothetical protein genes, complete cds",0,III,Unassigned,Unassigned,Unassigned,Toti-like,L,Non-structural
NW_017856122,NW_017856122_1,1102983,1104416,1433,40.70%,KP642128,"DsRNA virus environmental sample clone thai.aeae_contig5425 proline-alanine-rich protein and PArp-RdRp genes, partial cds",2.87E-95,III,Unassigned,Unassigned,Unassigned,Toti-like,Protein-alanine rich protein,ND
NW_017856122,NW_017856122_2,1102573,1102782,209,41.00%,KP642128,"DsRNA virus environmental sample clone thai.aeae_contig5425 proline-alanine-rich protein and PArp-RdRp genes, partial cds",2.94E-06,III,Unassigned,Unassigned,Unassigned,Toti-like,Protein-alanine rich protein,ND
NW_017856310,NW_017856310,678706,677105,1601,44.80%,KX882938,"Hubei toti-like virus 10 strain 3mos6210 hypothetical protein 1 and hypothetical protein 2 genes, complete cds",3.77E-149,III,Unassigned,Unassigned,Unassigned,Toti-like,RdRp,Non-structural
NW_017856928,NW_017856928_2,1316679,1317185,506,65.70%,KP642128,"DsRNA virus environmental sample clone thai.aeae_contig5425 proline-alanine-rich protein and PArp-RdRp genes, partial cds",1.21E-69,III,Unassigned,Unassigned,Unassigned,Toti-like,Protein-alanine rich protein,ND
NW_017856928,NW_017856928_3,1308402,1308875,473,69.00%,KP642128,"DsRNA virus environmental sample clone thai.aeae_contig5425 proline-alanine-rich protein and PArp-RdRp genes, partial cds",1.82E-66,III,Unassigned,Unassigned,Unassigned,Toti-like,Protein-alanine rich protein,ND
NW_017856928,NW_017856928_4,1301577,1302494,917,45.80%,KX882938,"Hubei toti-like virus 10 strain 3mos6210 hypothetical protein 1 and hypothetical protein 2 genes, complete cds",2.78E-76,III,Unassigned,Unassigned,Unassigned,Toti-like,RdRp,Non-structural
NW_017857712,NW_017857712_4,1706377,1707831,1454,73.90%,AB488408,"Aedes flavivirus genomic RNA, complete genome, strain: Narita-21",0.00E+00,IV,Flaviviridae,Unassigned,Flavivirus,,"NS3,NS4A,NS4B",Non-structural
NW_017857712,NW_017857712_8,1662179,1663531,1352,72.60%,AB488408,"Aedes flavivirus genomic RNA, complete genome, strain: Narita-21",0,IV,Flaviviridae,Unassigned,Flavivirus,,"NS3,NS4A,NS4B",Non-structural
NW_017857467,NW_017857467_8,142417,143625,1208,67.20%,KC181923,"Aedes flavivirus strain AEFV-SPFLD-MO-2011-MP6, complete genome",1.88E-172,IV,Flaviviridae,Unassigned,Flavivirus,,"NS1,NS2A,NS2B",Non-structural
NW_017857712,NW_017857712_10,1647512,1648558,1046,67.40%,KC181923,"Aedes flavivirus strain AEFV-SPFLD-MO-2011-MP6, complete genome",5.56E-157,IV,Flaviviridae,Unassigned,Flavivirus,,"NS1.NS2A,NS2B",Non-structural
NW_017857712,NW_017857712_6,1685876,1686922,1046,68.30%,KC181923,"Aedes flavivirus strain AEFV-SPFLD-MO-2011-MP6, complete genome",3.39E-159,IV,Flaviviridae,Unassigned,Flavivirus,,"NS1,NS2A,NS2B",Non-structural
NW_017856061,NW_017856061_4,2219541,2220089,548,78.40%,AB813801,"Cell fusing agent virus NS5 gene for non-structural protein 5, partial cds, strain: NS5-60_12",1.77E-94,IV,Flaviviridae,Unassigned,Flavivirus,,NS5,Non-structural
NW_017856202,NW_017856202,191821,192174,353,54.20%,AB813804,"Cell fusing agent virus NS5 gene for non-structural protein 5, partial cds, strain: NS5-158_08",9.48E-31,IV,Flaviviridae,Unassigned,Flavivirus,,NS5,Non-structural
NW_017856250,NW_017856250_2,1420542,1420309,233,55.10%,KJ741266,"Aedes flavivirus strain Bangkok, complete genome",1.41E-21,IV,Flaviviridae,Unassigned,Flavivirus,,"C,PrM",Structural
NW_017856292,NW_017856292,819080,814215,4865,34.70%,AB262759,"Culex flavivirus genomic RNA, complete genome, strain: Tokyo",0,IV,Flaviviridae,Unassigned,Flavivirus,,NS3,Non-structural
NW_017856292,NW_017856292_1,841348,840377,971,87.70%,AB488408,"Aedes flavivirus genomic RNA, complete genome, strain: Narita-21",0,IV,Flaviviridae,Unassigned,Flavivirus,,NS5,Non-structural
NW_017856292,NW_017856292_2,832192,831107,1085,85.20%,AB488408,"Aedes flavivirus genomic RNA, complete genome, strain: Narita-21",0,IV,Flaviviridae,Unassigned,Flavivirus,,"NS4B,NS5",Non-structural
NW_017856566,NW_017856566_3,11992,12528,536,79.30%,AB813801,"Cell fusing agent virus NS5 gene for non-structural protein 5, partial cds, strain: NS5-60_12",1.73E-102,IV,Flaviviridae,Unassigned,Flavivirus,,NS5,Non-structural
NW_017857065,NW_017857065_4,4640315,4640145,170,57.90%,KY320649,"La Tina virus isolate 49_LT96, complete genome",2.49E-14,IV,Flaviviridae,Unassigned,Flavivirus,,E,Structural
NW_017857065,NW_017857065_5,4626119,4625925,194,86.50%,KM871200,"Aedes flavivirus isolate 1122VN polymerase gene, partial cds",4.62E-24,IV,Flaviviridae,Unassigned,Flavivirus,,NS5,Non-structural
NW_017857065,NW_017857065_6,4625054,4624620,434,63.80%,AB488412,"Aedes flavivirus gene for polyprotein (NS5 region), partial cds, strain: Narita-24",4.60E-60,IV,Flaviviridae,Unassigned,Flavivirus,,NS5,Non-structural
NW_017857065,NW_017857065_7,4624435,4624229,206,56.50%,KY320649,"La Tina virus isolate 49_LT96, complete genome",1.96E-17,IV,Flaviviridae,Unassigned,Flavivirus,,E,Structural
NW_017857124,NW_017857124_10,409332,409087,245,52.40%,KY320649,"Aedes flavivirus strain Bangkok, complete genome",1.59E-22,IV,Flaviviridae,Unassigned,Flavivirus,,"C,PrM",Structural
NW_017857124,NW_017857124_6,891658,893469,1811,67.90%,AB488408,"Aedes flavivirus genomic RNA, complete genome, strain: Narita-21",0.00E+00,IV,Flaviviridae,Unassigned,Flavivirus,,"C,PrM,M,E",Structural
NW_017857124,NW_017857124_7,892786,893130,344,69.60%,AB488408,"Aedes flavivirus genomic RNA, complete genome, strain: Narita-21",1.23E-49,IV,Flaviviridae,Unassigned,Flavivirus,,"PrM, M",Structural
NW_017857467,NW_017857467_3,176281,176511,230,63.90%,AY149905,"Kamiti River virus isolate SR-82 polyprotein precursor, gene, complete cds",1.08E-15,IV,Flaviviridae,Unassigned,Flavivirus,,NS2A,Non-structural
NW_017857467,NW_017857467_4,165052,165405,353,41.50%,AY149904,"Kamiti River virus isolate SR-75 polyprotein precursor, gene, complete cds",4.17E-18,IV,Flaviviridae,Unassigned,Flavivirus,,NS2A/NS2B,Non-structural
NW_017857467,NW_017857467_6,155612,155752,140,61.70%,KC181923,"Aedes flavivirus strain AEFV-SPFLD-MO-2011-MP6, complete genome",8.48E-10,IV,Flaviviridae,Unassigned,Flavivirus,,NS2A,Non-structural
NW_017857467,NW_017857467_7,154352,154543,191,54.70%,KJ741267,"Cell fusing agent virus strain Galveston, complete genome",3.18E-17,IV,Flaviviridae,Unassigned,Flavivirus,,NS2A,Non-structural
NW_017857712,NW_017857712_5,1706332,1706670,338,69.50%,KY320649,"La Tina virus isolate 49_LT96, complete genome",4.37E-46,IV,Flaviviridae,Unassigned,Flavivirus,,NS4B,Non-structural
NW_017857712,NW_017857712_7,1685867,1686079,212,67.10%,KC181923,"Aedes flavivirus strain AEFV-SPFLD-MO-2011-MP6, complete genome",1.06E-25,IV,Flaviviridae,Unassigned,Flavivirus,,NS2B,Non-structural
NW_017857712,NW_017857712_9,1652672,1653067,395,63.30%,KC181923,"Aedes flavivirus strain AEFV-SPFLD-MO-2011-MP6, complete genome",2.68E-47,IV,Flaviviridae,Unassigned,Flavivirus,,"NS2A,NS2B",Non-structural
NW_017857787,NW_017857787_1,1196125,1196754,629,46.50%,KM088042,"Mosquito flavivirus isolate AMH003872 nonstructural protein 5 gene, partial cds",5.75E-51,IV,Flaviviridae,Unassigned,Flavivirus,,NS5,Non-structural
NW_017857787,NW_017857787_3,1187608,1187778,170,57.90%,KY320649,"La Tina virus isolate 49_LT96, complete genome",2.49E-14,IV,Flaviviridae,Unassigned,Flavivirus,,E,Structural
NW_017857870,NW_017857870,1718442,1718834,392,55.10%,AY149904,"Kamiti River virus isolate SR-75 polyprotein precursor, gene, complete cds",2.77E-33,IV,Flaviviridae,Unassigned,Flavivirus,,NS5,Non-structural
NW_017856913,NW_017856913,2945395,2945982,587,34.00%,HM746600,"Cavally virus isolate C79, complete genome",3.19E-25,IV,Mesoniviridae,Nidovirales,Alphamesonivirus,,ORF1ab,Non-structural
NW_017858044,NW_017858044,769840,769256,584,35.40%,KC807173,"Kamphang Phet virus strain KP84-0192, complete genome",3.74E-26,IV,Mesoniviridae,Nidovirales,Alphamesonivirus,,ORF1ab,Non-structural
NW_017856061,NW_017856061_2,2454036,2453782,254,49.40%,KU754539,"Boutonnet virus putative polyprotein and hypothetical protein genes, complete cds",5.13E-15,IV,Unassigned,Unassigned,Unassigned,Hepe-Virga-like,RdRp,Non-structural
NW_017856061,NW_017856061_3,2379396,2378761,635,51.20%,KX148585,SsRNA virus-like 6 genomic sequence,1.17E-59,IV,Unassigned,Unassigned,Unassigned,Hepe-Virga-like,RdRp,Non-structural
NW_017856209,NW_017856209,92677,93255,578,59.20%,KX148584,SsRNA virus-like 5 genomic sequence,1.28E-58,IV,Unassigned,Unassigned,Unassigned,Nege-like,RdRp,Non-structural
NW_017856250,NW_017856250_5,1388999,1388622,377,51.70%,KX148584,SsRNA virus-like 5 genomic sequence,1.38E-30,IV,Unassigned,Unassigned,Unassigned,Nege-like,RdRp,Non-structural
NW_017856566,NW_017856566_2,212368,211469,899,49.50%,KX148584,SsRNA virus-like 5 genomic sequence,1.98E-86,IV,Unassigned,Unassigned,Unassigned,Nege-like,RdRp,Non-structural
NW_017857124,NW_017857124_13,378732,378382,350,52.70%,KX148584,SsRNA virus-like 5 genomic sequence,1.90E-21,IV,Unassigned,Unassigned,Unassigned,Nege-like,RdRp,Non-structural
NW_017857357,NW_017857357,2468317,2468030,287,49.00%,KX148584,SsRNA virus-like 5 genomic sequence,2.55E-22,IV,Unassigned,Unassigned,Unassigned,Nege-like,RdRp,Non-structural
NW_017856162,NW_017856162,147365,145488,1877,42.50%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",9.96E-178,V,Chuviridae,Unassigned,Unassigned,,Glycoprotein,Structural
NW_017856996,NW_017856996,2292102,2290171,1931,40.90%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",1.52E-178,V,Chuviridae,Unassigned,Unassigned,,Glycoprotein,Structural
NW_017857879,NW_017857879,1997518,1995587,1931,40.90%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",1.48E-178,V,Chuviridae,Unassigned,Unassigned,,Glycoprotein,Structural
NW_017856108,NW_017856108_2,84830,84390,440,82.90%,KX924630,"Chuvirus Mos8Chu0 segment L RNA-directed RNA polymerase gene, complete cds",1.44E-75,V,Chuviridae,Unassigned,Unassigned,,L,Non-strutural
NW_017856411,NW_017856411_1,1545051,1546250,1199,40.90%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",3.88E-94,V,Chuviridae,Unassigned,Unassigned,,Glycoprotein,Structural
NW_017856927,NW_017856927_2,956529,957110,581,39.70%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",1.46E-38,V,Chuviridae,Unassigned,Unassigned,,Glycoprotein,Structural
NW_017857341,NW_017857341_4,5379883,5379476,407,79.40%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",2.64E-68,V,Chuviridae,Unassigned,Unassigned,,Glycoprotein,Structural
NW_017857341,NW_017857341_5,5371728,5371336,392,57.80%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",2.04E-29,V,Chuviridae,Unassigned,Unassigned,,Glycoprotein,Structural
NW_017857486,NW_017857486_2,3448850,3449311,461,76.60%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",3.19E-80,V,Chuviridae,Unassigned,Unassigned,,Glycoprotein,Structural
NW_017857915,NW_017857915_2,998495,997416,1079,39.40%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",3.02E-75,V,Chuviridae,Unassigned,Unassigned,,Glycoprotein,Structural
NW_017857964,NW_017857964,1250220,1249585,635,28.40%,KX884416,"Hubei coleoptera virus 3 strain QCM109726 putative glycoprotein, hypothetical protein, and RNA-dependent RNA polymerase genes, complete cds",1.17E-20,V,Chuviridae,Unassigned,Unassigned,,L,Non-structural
NW_017856229,NW_017856229,2962854,2963510,656,68.50%,KX898494,"Whidbey virus strain UW1 NP gene, complete cds",1.18E-108,V,Orthomyxoviridae,Unassigned,Unassigned,,NP,Structural
NW_017856727,NW_017856727_1,374408,373764,644,72.50%,KX898494,"Whidbey virus strain UW1 NP gene, complete cds",1.78E-40,V,Orthomyxoviridae,Unassigned,Unassigned,,NP,Structural
NW_017857133,NW_017857133_2,434032,434331,299,72.80%,KX898494,"Whidbey virus strain UW1 NP gene, complete cds",6.40E-33,V,Orthomyxoviridae,Unassigned,Unassigned,,NP,Structural
NW_017857133,NW_017857133_3,433641,433943,302,70.00%,KX898494,"Whidbey virus strain UW1 NP gene, complete cds",1.38E-39,V,Orthomyxoviridae,Unassigned,Unassigned,,NP,Structural
NW_017856374,NW_017856374,723481,722450,1031,34.40%,KM817759,"Wuhan Mosquito Virus 2 strain QN2-7 nucleopasid protein (N) gene, complete cds",1.63E-57,V,Phasmaviridae,Bunyavirales,Unassigned,,Nucleoprotein,Structural
NW_017857124,NW_017857124_1,1000619,1001404,785,33.30%,KM817759,"Wuhan Mosquito Virus 2 strain QN2-7 nucleopasid protein (N) gene, complete cds",1.83E-35,V,Phasmaviridae,Bunyavirales,Unassigned,,Nucleoprotein,Structural
NW_017857124,NW_017857124_2,999193,999588,395,30.40%,KM817759,"Wuhan Mosquito Virus 2 strain QN2-7 nucleopasid protein (N) gene, complete cds",2.10E-10,V,Phasmaviridae,Bunyavirales,Unassigned,,Nucleoprotein,Structural
NW_017857124,NW_017857124_3,995248,996033,785,33.30%,KM817759,"Wuhan Mosquito Virus 2 strain QN2-7 nucleopasid protein (N) gene, complete cds",1.58E-35,V,Phasmaviridae,Bunyavirales,Unassigned,,Nucleoprotein,Structural
NW_017857124,NW_017857124_4,988999,989784,785,33.30%,KM817759,"Wuhan Mosquito Virus 2 strain QN2-7 nucleopasid protein (N) gene, complete cds",1.57E-35,V,Phasmaviridae,Bunyavirales,Unassigned,,Nucleoprotein,Structural
NW_017857341,NW_017857341_3,5466834,5466211,623,40.80%,KM817759,"Wuhan Mosquito Virus 2 strain QN2-7 nucleopasid protein (N) gene, complete cds",2.78E-20,V,Phasmaviridae,Bunyavirales,Unassigned,,Nucleoprotein,Structural
