Table S5: BLASTp results generated by querying a protein with a Nidovirus-like domain present in dipteran species against the nr database. Results are sorted by E-value.,,,,,,,
,,,,,,,
Aedes aegypti,,,,,,,
,,,,,,,
Name,% Pairwise Identity,Accession,Description,E Value,Sequence length (aa),Organism,Query
XP_018799440,36.00%,XP_018799440,PREDICTED: uncharacterized protein LOC108975420 isoform X1 [Bactrocera latifrons],6.54E-14,111,Bactrocera latifrons,OGVF02003214 - ORF 4 (frame 3) translation
XP_014090933,37.30%,XP_014090933,PREDICTED: uncharacterized protein LOC106617965 isoform X1 [Bactrocera oleae],7.96E-14,110,Bactrocera oleae,OGVF02003214 - ORF 4 (frame 3) translation
XP_018321899,36.50%,XP_018321899,uncharacterized protein LOC108734736 isoform X3 [Agrilus planipennis],8.01E-14,104,Agrilus planipennis,OGVF02003214 - ORF 4 (frame 3) translation
XP_018321898,36.50%,XP_018321898,uncharacterized protein LOC108734736 isoform X1 [Agrilus planipennis],1.50E-13,104,Agrilus planipennis,OGVF02003214 - ORF 4 (frame 3) translation
XP_011213260,36.40%,XP_011213260,PREDICTED: uncharacterized protein LOC105233026 [Bactrocera dorsalis],2.42E-13,110,Bactrocera dorsalis,OGVF02003214 - ORF 4 (frame 3) translation
XP_001868005,31.00%,XP_001868005,conserved hypothetical protein [Culex quinquefasciatus],4.63E-13,110,Culex quinquefasciatus,OGVF02003214 - ORF 4 (frame 3) translation
XP_021199189,36.20%,XP_021199189,uncharacterized protein LOC110382815 isoform X1 [Helicoverpa armigera],7.31E-13,104,Helicoverpa armigera,OGVF02003214 - ORF 4 (frame 3) translation
EFA10122,35.50%,EFA10122,hypothetical protein TcasGA2_TC012302 [Tribolium castaneum],1.02E-12,110,Tribolium castaneum,OGVF02003214 - ORF 4 (frame 3) translation
XP_022834292,35.60%,XP_022834292,uncharacterized protein LOC111362022 isoform X5 [Spodoptera litura],1.14E-12,101,Spodoptera litura,OGVF02003214 - ORF 4 (frame 3) translation
XP_022834290,35.60%,XP_022834290,uncharacterized protein LOC111362022 isoform X3 [Spodoptera litura],1.26E-12,101,Spodoptera litura,OGVF02003214 - ORF 4 (frame 3) translation
XP_022834288,35.60%,XP_022834288,uncharacterized protein LOC111362022 isoform X1 [Spodoptera litura],1.29E-12,101,Spodoptera litura,OGVF02003214 - ORF 4 (frame 3) translation
XP_013183463,33.70%,XP_013183463,PREDICTED: uncharacterized protein LOC106129448 isoform X3 [Amyelois transitella],1.32E-12,104,Amyelois transitella,OGVF02003214 - ORF 4 (frame 3) translation
XP_976409,35.50%,XP_976409,PREDICTED: uncharacterized protein LOC662064 isoform X2 [Tribolium castaneum],1.35E-12,110,Tribolium castaneum,OGVF02003214 - ORF 4 (frame 3) translation
XP_008197566,35.50%,XP_008197566,PREDICTED: uncharacterized protein LOC662064 isoform X1 [Tribolium castaneum],1.36E-12,110,Tribolium castaneum,OGVF02003214 - ORF 4 (frame 3) translation
PCG71692,34.60%,PCG71692,hypothetical protein B5V51_1597 [Heliothis virescens],1.49E-12,104,Heliothis virescens,OGVF02003214 - ORF 4 (frame 3) translation
PSN45692,35.40%,PSN45692,hypothetical protein C0J52_11952 [Blattella germanica],3.43E-12,112,Blattella germanica,OGVF02003214 - ORF 4 (frame 3) translation
PCG71690,34.60%,PCG71690,hypothetical protein B5V51_1597 [Heliothis virescens],3.50E-12,104,Heliothis virescens,OGVF02003214 - ORF 4 (frame 3) translation
XP_021199190,36.20%,XP_021199190,uncharacterized protein LOC110382815 isoform X2 [Helicoverpa armigera],3.52E-12,104,Helicoverpa armigera,OGVF02003214 - ORF 4 (frame 3) translation
XP_013183462,33.70%,XP_013183462,PREDICTED: uncharacterized protein LOC106129448 isoform X2 [Amyelois transitella],4.02E-12,104,Amyelois transitella,OGVF02003214 - ORF 4 (frame 3) translation
XP_013183461,33.70%,XP_013183461,PREDICTED: uncharacterized protein LOC106129448 isoform X1 [Amyelois transitella],4.05E-12,104,Amyelois transitella,OGVF02003214 - ORF 4 (frame 3) translation
XP_005180669,36.60%,XP_005180669,PREDICTED: uncharacterized protein LOC101887953 [Musca domestica],4.87E-12,111,Musca domestica,OGVF02003214 - ORF 4 (frame 3) translation
OWR52130,36.70%,OWR52130,hypothetical protein KGM_213093 [Danaus plexippus plexippus],8.86E-12,98,Danaus plexippus,OGVF02003214 - ORF 4 (frame 3) translation
XP_022834289,36.30%,XP_022834289,uncharacterized protein LOC111362022 isoform X2 [Spodoptera litura],9.32E-12,101,Spodoptera litura,OGVF02003214 - ORF 4 (frame 3) translation
XP_023950467,37.80%,XP_023950467,uncharacterized protein LOC112054798 isoform X3 [Bicyclus anynana],9.82E-12,98,Bicyclus anynana,OGVF02003214 - ORF 4 (frame 3) translation
XP_023950466,37.80%,XP_023950466,uncharacterized protein LOC112054798 isoform X2 [Bicyclus anynana],1.02E-11,98,Bicyclus anynana,OGVF02003214 - ORF 4 (frame 3) translation
XP_023950465,37.80%,XP_023950465,uncharacterized protein LOC112054798 isoform X1 [Bicyclus anynana],1.13E-11,98,Bicyclus anynana,OGVF02003214 - ORF 4 (frame 3) translation
XP_017059883,34.20%,XP_017059883,PREDICTED: uncharacterized protein LOC108100465 [Drosophila ficusphila],1.35E-11,109,Drosophila ficusphila,OGVF02003214 - ORF 4 (frame 3) translation
XP_026484437,36.80%,XP_026484437,uncharacterized protein LOC113392299 isoform X2 [Vanessa tameamea],1.97E-11,95,Vanessa tameamea,OGVF02003214 - ORF 4 (frame 3) translation
XP_026484436,36.80%,XP_026484436,uncharacterized protein LOC113392299 isoform X1 [Vanessa tameamea],2.21E-11,95,Vanessa tameamea,OGVF02003214 - ORF 4 (frame 3) translation
XP_013167107,38.50%,XP_013167107,PREDICTED: uncharacterized protein LOC106117371 isoform X1 [Papilio xuthus],2.74E-11,104,Papilio xuthus,OGVF02003214 - ORF 4 (frame 3) translation
XP_013167108,38.50%,XP_013167108,PREDICTED: uncharacterized protein LOC106117371 isoform X2 [Papilio xuthus],2.96E-11,104,Papilio xuthus,OGVF02003214 - ORF 4 (frame 3) translation
KPI95531,38.50%,KPI95531,hypothetical protein RR46_08990 [Papilio xuthus],2.97E-11,104,Papilio xuthus,OGVF02003214 - ORF 4 (frame 3) translation
XP_008549089,34.50%,XP_008549089,PREDICTED: uncharacterized protein LOC103572323 isoform X2 [Microplitis demolitor],3.33E-11,110,Microplitis demolitor,OGVF02003214 - ORF 4 (frame 3) translation
XP_008549088,34.50%,XP_008549088,PREDICTED: uncharacterized protein LOC103572323 isoform X1 [Microplitis demolitor],3.58E-11,110,Microplitis demolitor,OGVF02003214 - ORF 4 (frame 3) translation
XP_017785995,38.10%,XP_017785995,PREDICTED: uncharacterized protein LOC108569095 [Nicrophorus vespilloides],5.24E-11,113,Nicrophorus vespilloides,OGVF02003214 - ORF 4 (frame 3) translation
XP_022204591,34.70%,XP_022204591,uncharacterized protein LOC111061212 isoform X2 [Nilaparvata lugens],5.79E-11,98,Nilaparvata lugens,OGVF02003214 - ORF 4 (frame 3) translation
XP_022204590,34.70%,XP_022204590,uncharacterized protein LOC111061212 isoform X1 [Nilaparvata lugens],7.74E-11,98,Nilaparvata lugens,OGVF02003214 - ORF 4 (frame 3) translation
XP_014369469,37.70%,XP_014369469,PREDICTED: uncharacterized protein LOC106719609 [Papilio machaon],1.06E-10,106,Papilio machaon,OGVF02003214 - ORF 4 (frame 3) translation
XP_026323722,35.60%,XP_026323722,uncharacterized protein LOC113233005 isoform X2 [Hyposmocoma kahamanoa],1.34E-10,101,Hyposmocoma kahamanoa,OGVF02003214 - ORF 4 (frame 3) translation
XP_565200,36.20%,XP_565200,AGAP007003-PA [Anopheles gambiae str. PEST],1.39E-10,105,Anopheles gambiae,OGVF02003214 - ORF 4 (frame 3) translation
XP_026323720,35.60%,XP_026323720,uncharacterized protein LOC113233005 isoform X1 [Hyposmocoma kahamanoa],1.45E-10,101,Hyposmocoma kahamanoa,OGVF02003214 - ORF 4 (frame 3) translation
KRT83002,42.90%,KRT83002,"hypothetical protein AMK59_4127, partial [Oryctes borbonicus]",1.72E-10,63,Oryctes borbonicus,OGVF02003214 - ORF 4 (frame 3) translation
XP_023293359,35.20%,XP_023293359,uncharacterized protein LOC111676629 [Lucilia cuprina],1.98E-10,105,Lucilia cuprina,OGVF02003214 - ORF 4 (frame 3) translation
XP_024844686,37.30%,XP_024844686,LOW QUALITY PROTEIN: interleukin enhancer-binding factor 2 homolog [Bos taurus],3.00E-10,83,Bos taurus,OGVF02003214 - ORF 4 (frame 3) translation
ETN66873,32.10%,ETN66873,hypothetical protein AND_001331 [Anopheles darlingi],3.84E-10,107,Anopheles darlingi,OGVF02003214 - ORF 4 (frame 3) translation
XP_021929894,29.20%,XP_021929894,uncharacterized protein LOC110834745 isoform X2 [Zootermopsis nevadensis],8.53E-10,106,Zootermopsis nevadensis,OGVF02003214 - ORF 4 (frame 3) translation
XP_021929887,29.20%,XP_021929887,uncharacterized protein LOC110834745 isoform X1 [Zootermopsis nevadensis],8.94E-10,106,Zootermopsis nevadensis,OGVF02003214 - ORF 4 (frame 3) translation
XP_016924732,33.00%,XP_016924732,PREDICTED: uncharacterized protein LOC108005865 [Drosophila suzukii],9.48E-10,107,Drosophila suzukii,OGVF02003214 - ORF 4 (frame 3) translation
XP_015121914,39.00%,XP_015121914,PREDICTED: uncharacterized protein LOC107044517 isoform X1 [Diachasma alloeum],2.22E-09,99,Diachasma alloeum,OGVF02003214 - ORF 4 (frame 3) translation
XP_015121915,39.00%,XP_015121915,PREDICTED: uncharacterized protein LOC107044517 isoform X2 [Diachasma alloeum],2.31E-09,99,Diachasma alloeum,OGVF02003214 - ORF 4 (frame 3) translation
XP_011190096,31.80%,XP_011190096,PREDICTED: uncharacterized protein LOC105216994 [Zeugodacus cucurbitae],3.50E-09,110,Zeugodacus cucurbitae,OGVF02003214 - ORF 4 (frame 3) translation
XP_019768152,29.20%,XP_019768152,PREDICTED: uncharacterized protein LOC109543071 [Dendroctonus ponderosae],3.83E-09,113,Dendroctonus ponderosae,OGVF02003214 - ORF 4 (frame 3) translation
XP_017009530,33.30%,XP_017009530,PREDICTED: uncharacterized protein LOC108065824 [Drosophila takahashii],4.33E-09,106,Drosophila takahashii,OGVF02003214 - ORF 4 (frame 3) translation
KFB52903,27.70%,KFB52903,hypothetical protein ZHAS_00021182 [Anopheles sinensis],9.94E-09,112,Anopheles sinensis,OGVF02003214 - ORF 4 (frame 3) translation
XP_013144439,35.60%,XP_013144439,PREDICTED: uncharacterized protein LOC106107953 [Papilio polytes],1.17E-08,104,Papilio polytes,OGVF02003214 - ORF 4 (frame 3) translation
XP_012547937,36.20%,XP_012547937,uncharacterized protein LOC101746576 isoform X3 [Bombyx mori],1.53E-08,103,Bombyx mori,OGVF02003214 - ORF 4 (frame 3) translation
KOB69527,33.30%,KOB69527,Uncharacterized protein OBRU01_10689 [Operophtera brumata],1.72E-08,99,Operophtera brumata,OGVF02003214 - ORF 4 (frame 3) translation
XP_012547936,36.20%,XP_012547936,uncharacterized protein LOC101746576 isoform X2 [Bombyx mori],3.80E-08,103,Bombyx mori,OGVF02003214 - ORF 4 (frame 3) translation
XP_004928583,36.20%,XP_004928583,uncharacterized protein LOC101746576 isoform X1 [Bombyx mori],4.00E-08,103,Bombyx mori,OGVF02003214 - ORF 4 (frame 3) translation
AHA43393,34.80%,AHA43393.1,pp1a polyprotein [Nam Dinh virus],1.86E-07,105,Nam Dinh virus,OGVF02003214 - ORF 4 (frame 3) translation
AGL73176,33.60%,AGL73176,ORF1 [Bontang virus],1.92E-07,109,Bontang virus,OGVF02003214 - ORF 4 (frame 3) translation
AVM80373,33.60%,AVM80373,ORF1 [Bontang Baru virus],1.98E-07,109,Bontang Baru virus,OGVF02003214 - ORF 4 (frame 3) translation
AGL73173,33.60%,AGL73173,ORF1 [Bontang virus],2.00E-07,109,Bontang virus,OGVF02003214 - ORF 4 (frame 3) translation
AHA43392,33.60%,AHA43392,pp1ab polyprotein [Nam Dinh virus],2.00E-07,109,Nam Dinh virus,OGVF02003214 - ORF 4 (frame 3) translation
XP_008205825,36.40%,XP_008205825,PREDICTED: uncharacterized protein LOC103316049 isoform X5 [Nasonia vitripennis],2.11E-07,99,Nasonia vitripennis,OGVF02003214 - ORF 4 (frame 3) translation
XP_008205824,36.40%,XP_008205824,PREDICTED: uncharacterized protein LOC103316049 isoform X4 [Nasonia vitripennis],2.69E-07,99,Nasonia vitripennis,OGVF02003214 - ORF 4 (frame 3) translation
XP_008205822,36.40%,XP_008205822,PREDICTED: uncharacterized protein LOC103316049 isoform X1 [Nasonia vitripennis],2.71E-07,99,Nasonia vitripennis,OGVF02003214 - ORF 4 (frame 3) translation
XP_008205823,36.40%,XP_008205823,PREDICTED: uncharacterized protein LOC103316049 isoform X2 [Nasonia vitripennis],2.84E-07,99,Nasonia vitripennis,OGVF02003214 - ORF 4 (frame 3) translation
XP_016840594,36.40%,XP_016840594,PREDICTED: uncharacterized protein LOC103316049 isoform X3 [Nasonia vitripennis],3.09E-07,99,Nasonia vitripennis,OGVF02003214 - ORF 4 (frame 3) translation
OXU26083,36.40%,OXU26083,hypothetical protein TSAR_000199 [Trichomalopsis sarcophagae],3.16E-07,99,Trichomalopsis sarcophagae,OGVF02003214 - ORF 4 (frame 3) translation
ALP32022,32.80%,ALP32022,pp1a polyprotein [Alphamesonivirus 1],3.82E-07,109,Alphamesonivirus 1,OGVF02003214 - ORF 4 (frame 3) translation
AXL48230,32.80%,AXL48230,pp1a polyprotein [Alphamesonivirus 1],3.82E-07,109,Alphamesonivirus 1,OGVF02003214 - ORF 4 (frame 3) translation
AXL48266,33.30%,AXL48266,pp1a polyprotein [Alphamesonivirus 1],3.82E-07,107,Alphamesonivirus 1,OGVF02003214 - ORF 4 (frame 3) translation
AHG56127,34.20%,AHG56127,ORF1a [Nam Dinh virus],4.01E-07,105,Nam Dinh,OGVF02003214 - ORF 4 (frame 3) translation
AXL48229,32.80%,AXL48229,pp1ab polyprotein [Alphamesonivirus 1],4.06E-07,109,Alphamesonivirus 1,OGVF02003214 - ORF 4 (frame 3) translation
AXL48235,32.80%,AXL48235,pp1ab polyprotein [Alphamesonivirus 1],4.10E-07,109,Alphamesonivirus 1,OGVF02003214 - ORF 4 (frame 3) translation
ALP32023,32.80%,ALP32023,pp1ab polyprotein [Alphamesonivirus 1],4.14E-07,109,Alphamesonivirus 1,OGVF02003214 - ORF 4 (frame 3) translation
AXL48247,32.80%,AXL48247,pp1ab polyprotein [Alphamesonivirus 1],4.14E-07,109,Alphamesonivirus 1,OGVF02003214 - ORF 4 (frame 3) translation
AXL48265,32.80%,AXL48265,pp1ab polyprotein [Alphamesonivirus 1],4.18E-07,109,Alphamesonivirus 1,OGVF02003214 - ORF 4 (frame 3) translation
AGL73185,33.30%,AGL73185,ORF1 [Ngewotan virus],4.42E-07,105,Ngewotan virus,OGVF02003214 - ORF 4 (frame 3) translation
YP_004767306,33.30%,YP_004767306,ORF1a gene product [Nam Dinh virus],4.55E-07,105,Nam Dinh,OGVF02003214 - ORF 4 (frame 3) translation
YP_004767305,32.20%,YP_004767305,ORF1ab gene product [Nam Dinh virus],4.69E-07,109,Nam Dinh,OGVF02003214 - ORF 4 (frame 3) translation
ASA47343,33.90%,ASA47343,pp1a polyprotein [Ngewotan virus],6.08E-07,105,Ngewotan virus,OGVF02003214 - ORF 4 (frame 3) translation
AII17279,32.80%,AII17279,ORF1a [Nam Dinh virus],6.20E-07,109,Nam Dinh,OGVF02003214 - ORF 4 (frame 3) translation
AGL73209,32.80%,AGL73209,ORF1 [Houston virus],6.32E-07,109,Houston virus,OGVF02003214 - ORF 4 (frame 3) translation
AGL73200,32.80%,AGL73200,ORF1 [Houston virus],6.45E-07,109,Houston virus,OGVF02003214 - ORF 4 (frame 3) translation
,,,,,,,
Anopheles gambiae,,,,,,,
,,,,,,,
Name,% Pairwise Identity,Accession,Description,E Value,Sequence length (aa),Organism,Query
XP_565200,100.00%,XP_565200,AGAP007003-PA [Anopheles gambiae str. PEST],0,381,Anopheles gambiae,AAAB01008807 - AGAP007003-PA CDS translation
ETN66873,45.50%,ETN66873,hypothetical protein AND_001331 [Anopheles darlingi],2.69E-59,240,Anopheles darlingi,AAAB01008807 - AGAP007003-PA CDS translation
KFB52903,40.90%,KFB52903,hypothetical protein ZHAS_00021182 [Anopheles sinensis],3.05E-58,291,Anopheles sinensis,AAAB01008807 - AGAP007003-PA CDS translation
XP_001868005,42.10%,XP_001868005,conserved hypothetical protein [Culex quinquefasciatus],1.69E-40,201,Culex quinquefasciatus,AAAB01008807 - AGAP007003-PA CDS translation
KXJ70550,31.80%,KXJ70550,hypothetical protein RP20_CCG023183 [Aedes albopictus],3.65E-40,282,Aedes albopictus,AAAB01008807 - AGAP007003-PA CDS translation
XP_019534633,32.00%,XP_019534633,PREDICTED: uncharacterized protein LOC109406026 isoform X4 [Aedes albopictus],7.93E-39,299,Aedes albopictus,AAAB01008807 - AGAP007003-PA CDS translation
XP_019534632,31.70%,XP_019534632,PREDICTED: uncharacterized protein LOC109406026 isoform X3 [Aedes albopictus],8.24E-39,299,Aedes albopictus,AAAB01008807 - AGAP007003-PA CDS translation
XP_019534630,31.70%,XP_019534630,PREDICTED: uncharacterized protein LOC109406026 isoform X1 [Aedes albopictus],9.87E-39,299,Aedes albopictus,AAAB01008807 - AGAP007003-PA CDS translation
XP_019547701,30.90%,XP_019547701,PREDICTED: uncharacterized protein LOC109418001 isoform X2 [Aedes albopictus],1.01E-38,296,Aedes albopictus,AAAB01008807 - AGAP007003-PA CDS translation
XP_019547702,30.90%,XP_019547702,PREDICTED: uncharacterized protein LOC109418001 isoform X3 [Aedes albopictus],1.07E-38,296,Aedes albopictus,AAAB01008807 - AGAP007003-PA CDS translation
XP_019534631,31.70%,XP_019534631,PREDICTED: uncharacterized protein LOC109406026 isoform X2 [Aedes albopictus],1.09E-38,299,Aedes albopictus,AAAB01008807 - AGAP007003-PA CDS translation
XP_019547700,30.90%,XP_019547700,PREDICTED: uncharacterized protein LOC109418001 isoform X1 [Aedes albopictus],1.17E-38,296,Aedes albopictus,AAAB01008807 - AGAP007003-PA CDS translation
EAT33730,38.50%,EAT33730,AAEL013999-PA [Aedes aegypti],5.37E-37,211,Aedes aegypti,AAAB01008807 - AGAP007003-PA CDS translation
XP_001657255,38.50%,XP_001657255,uncharacterized protein LOC5579059 [Aedes aegypti],5.77E-37,211,Aedes aegypti,AAAB01008807 - AGAP007003-PA CDS translation
XP_023293359,31.20%,XP_023293359,uncharacterized protein LOC111676629 [Lucilia cuprina],4.72E-23,251,Lucilia cuprina,AAAB01008807 - AGAP007003-PA CDS translation
XP_005180669,28.30%,XP_005180669,PREDICTED: uncharacterized protein LOC101887953 [Musca domestica],5.15E-23,227,Musca domestica,AAAB01008807 - AGAP007003-PA CDS translation
XP_017059883,28.30%,XP_017059883,PREDICTED: uncharacterized protein LOC108100465 [Drosophila ficusphila],5.01E-21,258,Drosophila ficusphila,AAAB01008807 - AGAP007003-PA CDS translation
XP_011190096,33.00%,XP_011190096,PREDICTED: uncharacterized protein LOC105216994 [Zeugodacus cucurbitae],5.54E-21,190,Zeugodacus cucurbitae,AAAB01008807 - AGAP007003-PA CDS translation
XP_002095568,28.50%,XP_002095568,"uncharacterized protein Dyak_GE22466, isoform A [Drosophila yakuba]",1.47E-20,267,Drosophila yakuba,AAAB01008807 - AGAP007003-PA CDS translation
XP_017843422,29.10%,XP_017843422,PREDICTED: uncharacterized protein LOC108600387 [Drosophila busckii],1.02E-19,249,Drosophila busckii,AAAB01008807 - AGAP007003-PA CDS translation
XP_014090934,29.60%,XP_014090934,PREDICTED: uncharacterized protein LOC106617965 isoform X2 [Bactrocera oleae],1.09E-19,239,Bactrocera oleae,AAAB01008807 - AGAP007003-PA CDS translation
XP_014090933,29.60%,XP_014090933,PREDICTED: uncharacterized protein LOC106617965 isoform X1 [Bactrocera oleae],1.61E-19,239,Bactrocera oleae,AAAB01008807 - AGAP007003-PA CDS translation
NP_649149,30.30%,NP_649149,"torsin interacting protein, isoform A [Drosophila melanogaster]",1.89E-19,219,Drosophila melanogaster,AAAB01008807 - AGAP007003-PA CDS translation
XP_017121963,28.20%,XP_017121963,PREDICTED: uncharacterized protein LOC108142546 [Drosophila elegans],4.29E-19,251,Drosophila elegans,AAAB01008807 - AGAP007003-PA CDS translation
XP_001985171,28.70%,XP_001985171,GH16916 [Drosophila grimshawi],5.01E-19,239,Drosophila grimshawi,AAAB01008807 - AGAP007003-PA CDS translation
XP_013111449,29.50%,XP_013111449,PREDICTED: uncharacterized protein LOC106089976 isoform X1 [Stomoxys calcitrans],1.01E-18,190,Stomoxys calcitrans,AAAB01008807 - AGAP007003-PA CDS translation
XP_022218086,33.00%,XP_022218086,uncharacterized protein LOC111071193 [Drosophila obscura],1.70E-18,190,Drosophila obscura,AAAB01008807 - AGAP007003-PA CDS translation
XP_004537685,30.20%,XP_004537685,uncharacterized protein LOC101449319 [Ceratitis capitata],1.99E-18,240,Ceratitis capitata,AAAB01008807 - AGAP007003-PA CDS translation
XP_017494774,31.40%,XP_017494774,PREDICTED: uncharacterized protein LOC108382918 [Rhagoletis zephyria],2.41E-18,190,Rhagoletis zephyria,AAAB01008807 - AGAP007003-PA CDS translation
XP_002062358,27.90%,XP_002062358,uncharacterized protein LOC6638941 [Drosophila willistoni],5.22E-18,266,Drosophila willistoni,AAAB01008807 - AGAP007003-PA CDS translation
XP_011213260,30.80%,XP_011213260,PREDICTED: uncharacterized protein LOC105233026 [Bactrocera dorsalis],8.11E-18,226,Bactrocera dorsalis,AAAB01008807 - AGAP007003-PA CDS translation
XP_017009530,30.00%,XP_017009530,PREDICTED: uncharacterized protein LOC108065824 [Drosophila takahashii],1.04E-17,264,Drosophila takahashii,AAAB01008807 - AGAP007003-PA CDS translation
XP_016032551,29.70%,XP_016032551,uncharacterized protein Dsimw501_GD12251 [Drosophila simulans],2.02E-17,219,Drosophila simulans,AAAB01008807 - AGAP007003-PA CDS translation
XP_001973384,28.20%,XP_001973384,uncharacterized protein Dere_GG13373 [Drosophila erecta],2.26E-17,265,Drosophila erecta,AAAB01008807 - AGAP007003-PA CDS translation
EDX11122,29.70%,EDX11122,GD12251 [Drosophila simulans],3.17E-17,219,Drosophila simulans,AAAB01008807 - AGAP007003-PA CDS translation
XP_017140752,32.00%,XP_017140752,PREDICTED: uncharacterized protein LOC108154847 [Drosophila miranda],3.24E-17,216,Drosophila miranda,AAAB01008807 - AGAP007003-PA CDS translation
XP_002048501,25.10%,XP_002048501,uncharacterized protein Dvir_GJ14006 [Drosophila virilis],5.73E-17,313,Drosophila virilis,AAAB01008807 - AGAP007003-PA CDS translation
XP_016971134,29.10%,XP_016971134,PREDICTED: uncharacterized protein LOC108038801 [Drosophila rhopaloa],7.19E-17,236,Drosophila rhopaloa,AAAB01008807 - AGAP007003-PA CDS translation
XP_016924732,28.40%,XP_016924732,PREDICTED: uncharacterized protein LOC108005865 [Drosophila suzukii],1.35E-16,251,Drosophila suzukii,AAAB01008807 - AGAP007003-PA CDS translation
YP_007697643,30.70%,YP_007697643.1,ORF1a [Nse virus],3.06E-16,193,Nse virus,AAAB01008807 - AGAP007003-PA CDS translation
XP_002043614,31.90%,XP_002043614,GM16288 [Drosophila sechellia],3.80E-16,187,Drosophila sechellia,AAAB01008807 - AGAP007003-PA CDS translation
YP_007697642,30.70%,YP_007697642.1,ORF1ab [Nse virus],3.90E-16,193,Nse virus,AAAB01008807 - AGAP007003-PA CDS translation
XP_023027531,29.60%,XP_023027531,uncharacterized protein LOC111515546 [Leptinotarsa decemlineata],4.17E-16,193,Leptinotarsa decemlineata,AAAB01008807 - AGAP007003-PA CDS translation
XP_016955811,28.90%,XP_016955811,PREDICTED: uncharacterized protein LOC108028464 [Drosophila biarmipes],4.85E-16,236,Drosophila biarmipes,AAAB01008807 - AGAP007003-PA CDS translation
SPP77240,31.30%,SPP77240,Hypothetical predicted protein [Drosophila guanche],8.66E-16,190,Drosophila guanche,AAAB01008807 - AGAP007003-PA CDS translation
XP_002016852,32.70%,XP_002016852,GL21850 [Drosophila persimilis],1.12E-15,216,Drosophila persimilis,AAAB01008807 - AGAP007003-PA CDS translation
XP_002137636,31.80%,XP_002137636,uncharacterized protein Dpse_GA26427 [Drosophila pseudoobscura pseudoobscura],1.21E-15,216,Drosophila pseudoobscura,AAAB01008807 - AGAP007003-PA CDS translation
PSN45692,26.10%,PSN45692,hypothetical protein C0J52_11952 [Blattella germanica],1.59E-15,219,Blattella germanica,AAAB01008807 - AGAP007003-PA CDS translation
XP_018799440,31.90%,XP_018799440,PREDICTED: uncharacterized protein LOC108975420 isoform X1 [Bactrocera latifrons],1.80E-15,190,Bactrocera latifrons,AAAB01008807 - AGAP007003-PA CDS translation
XP_021929894,27.50%,XP_021929894,uncharacterized protein LOC110834745 isoform X2 [Zootermopsis nevadensis],1.05E-14,248,Zootermopsis nevadensis,AAAB01008807 - AGAP007003-PA CDS translation
XP_021929887,27.20%,XP_021929887,uncharacterized protein LOC110834745 isoform X1 [Zootermopsis nevadensis],1.05E-14,248,Zootermopsis nevadensis,AAAB01008807 - AGAP007003-PA CDS translation
XP_023178315,27.10%,XP_023178315,uncharacterized protein LOC111604465 [Drosophila hydei],1.32E-14,219,Drosophila hydei,AAAB01008807 - AGAP007003-PA CDS translation
XP_017785995,32.30%,XP_017785995,PREDICTED: uncharacterized protein LOC108569095 [Nicrophorus vespilloides],2.44E-14,157,Nicrophorus vespilloides,AAAB01008807 - AGAP007003-PA CDS translation
XP_017071307,28.40%,XP_017071307,PREDICTED: uncharacterized protein LOC108107974 [Drosophila eugracilis],2.71E-14,259,Drosophila eugracilis,AAAB01008807 - AGAP007003-PA CDS translation
XP_020802055,31.00%,XP_020802055,uncharacterized protein LOC110179040 [Drosophila serrata],3.57E-14,190,Drosophila serrata,AAAB01008807 - AGAP007003-PA CDS translation
XP_002008755,26.40%,XP_002008755,uncharacterized protein Dmoj_GI13670 [Drosophila mojavensis],6.52E-14,240,Drosophila mojavensis,AAAB01008807 - AGAP007003-PA CDS translation
XP_017089575,27.50%,XP_017089575,PREDICTED: uncharacterized protein LOC108120422 [Drosophila bipectinata],1.64E-13,237,Drosophila bipectinata,AAAB01008807 - AGAP007003-PA CDS translation
XP_018578697,26.60%,XP_018578697,uncharacterized protein LOC108916872 [Anoplophora glabripennis],3.34E-13,188,Anoplophora glabripennis,AAAB01008807 - AGAP007003-PA CDS translation
XP_017861065,26.50%,XP_017861065,PREDICTED: uncharacterized protein LOC108612624 [Drosophila arizonae],4.46E-13,218,Drosophila arizonae,AAAB01008807 - AGAP007003-PA CDS translation
XP_018321899,31.90%,XP_018321899,uncharacterized protein LOC108734736 isoform X3 [Agrilus planipennis],7.18E-13,157,Agrilus planipennis,AAAB01008807 - AGAP007003-PA CDS translation
XP_018321898,30.20%,XP_018321898,uncharacterized protein LOC108734736 isoform X1 [Agrilus planipennis],8.59E-13,157,Agrilus planipennis,AAAB01008807 - AGAP007003-PA CDS translation
XP_017955411,26.50%,XP_017955411,PREDICTED: uncharacterized protein LOC108650694 [Drosophila navojoa],1.14E-12,218,Drosophila navojoa,AAAB01008807 - AGAP007003-PA CDS translation
XP_001958296,30.90%,XP_001958296,uncharacterized protein Dana_GF10850 [Drosophila ananassae],1.43E-12,190,Drosophila ananassae,AAAB01008807 - AGAP007003-PA CDS translation
XP_023712229,33.60%,XP_023712229,uncharacterized protein LOC111867008 isoform X3 [Cryptotermes secundus],2.12E-12,135,Cryptotermes secundus,AAAB01008807 - AGAP007003-PA CDS translation
